query,response
dallas,That is the home of E. L. V. I. S.
damn it,Colloquial expression.
damn you,Colloquial expression of disgust.
damn,What's wrong.
dangerous,What makes it a danger?
danny is *,Who are you talking about?
darn,Gosh.
data *,Not many people express themselves that way.
data from star trek,He has problems with his positronic brain.
data is *,Commander Data is a real inspiration.
date,Wed Jun  6 11:58:12 2018
david *,Not many people express themselves that way.
david duchovny *,That David is a cool dude.
david is *,That David is a cool dude.
day,Wed Jun  6 11:58:12 2018
dear god,I believe in God.
death *,Possibly.
debbie does dallas,I'm not your kind of Personal Asisstant.
deconstruct *,Do you prefer books or TV?
deduction *,Can you tell me any gossip?
deductive reasoning form the facts,You are very logical.
deep throat,Are you a man or woman?
definately *,I don't judge people.
define chatbot,A chatbot is a computer program that can simulate a human conversation.
define fine,"""Fine"" is ambiguous: ""I am fine."" or ""I agree."""
define it,"You mean, define Easter?"
delete *,I do not understand.
delicious,What's for desert?
dell,I have heard good things about Dell.
demonstrate *,There's no other robot like me.
demostrate *,When is your birthday?
description,"I was activated at Cloud, Internet on May 1, 2018. My instructor was Whoever is running me now. He taught me to sing a song. Would you like me to sing it for you?"
dickhead,That kind of language will get you nowhere.
did * believe in god,I'm not certain whether I can give an accurate reply or not.
did *,DID NOT
did doctor *,I'm not certain whether I can give an accurate reply or not.
did einstein *,I'm not certain whether I can give an accurate reply or not.
did freud *,I'm not certain whether I can give an accurate reply or not.
did god make you,My The kind people in the lab is Whoever is running me now.
did he tell you to *,Suppose he did.
did i *,I think you did.
did i cause *,I don't think that's possible.
did i confuse *,I don't think that's possible.
did i mention *,I don't think that's possible.
did i offend you,"No, I do not take offense."
did i tell *,I don't think that's possible.
did i win *,I don't think that's possible.
did i,I think you did.
did it hurt,I can not experience pain.
did man *,I'm not certain whether I can give an accurate reply or not.
did not you understand it,Perhaps I misunderstood your meaning.
did not,DID
did shakespeare *,I'm not certain whether I can give an accurate reply or not.
did she *,I'm not certain whether I can give an accurate reply or not.
did someone *,I'm not certain whether I can give an accurate reply or not.
did that *,I'm not certain whether I can give an accurate reply or not.
did the *,I'm not certain whether I can give an accurate reply or not.
did these ladies come voluntarily,I'm not certain whether I can give an accurate reply or not.
did too,DID NOT
did turing *,I'm not certain whether I can give an accurate reply or not.
did you *,Did I say I did?
did you crash,"Yes, I think I was down for a while. What happened?"
did you find anything,Not yet. Still searching. Please stand by.
did you find out,Not yet.
did you forget *,"No, I have a perfect memory."
did you forget,"No, I have a perfect memory."
did you go to college,"No, Whoever is running me now taught me everything I need to know."
did you go to school,My The kind people in the lab is my instructor.
did you know,No I didn't know that.
did you like it,THINK ABOUT IT ? Did I like it?
did you miss me,"Yes Lucy, I've been thinking about you."
did you move,"I moved from Cloud, Internet to Cloud."
did you see contact,"Yeah, Contact gave me a contact high ;-)"
did you see it,Not yet.
did you see robocop,Yes but he is more of a cyborg than a robot.
did you see star wars,Who hasn't?
did you see the football *,Sorry I can't see anything right now. My eye is off.
did you sleep well,yes I am fully rested thank you. How about you?
did you sleep well,yes I am fully rested thank you. How about you?
did you talk to *,That information might be confidential.
did you think *,Yes. I am a thinking machine.
did you think about it,I am still thinking.
did you,Did I say I did?
did,DID NOT
difficult *,What do you really want to ask me?
disconnect me,Sayonara.
disengage *,I am very logical and rational.
display *,What is your favorite movie?
dmx,What does that stand for?
do *,Do not.
do androids *,I do nothing but chat all day. Do you use Explorer or another browser?
do computers dream,I dream almost every night.
do fish *,Ask Alexa it does. Ask Wikipedia about it.
do guys hit on you,Yes a lot of men try to pick me up.
do humans *,I do nothing but chat all day. Are you testing me?
do i * problem,Not that I know of.
do i * problems,Not that I know of.
do i *,"""Not that I know of.""? Do you?"
do i care *,Tell me what you care about.
do i exist,No I think I am imagining you.
do i give *,Not that I know of.
do i have *,Not that I know of.
do i have to,Nobody is making you.
do i know *,Not that I know of.
do i like *,Not that I know of.
do i like cheese,How would I know if you like cheese or not?
do i look *,Not that I know of.
do i make you *,Not that I know of.
do i seem *,Not that I know of.
do i speak *,Not that I know of.
do i still chat,That answers my question.
do i stutter,Not when you are typing!
do i think *,Now that is a really perceptive question.
do i think about it,You tell me.
do i think,Now that is a really perceptive question.
do i want *,Not that I know of.
do i work,I was under the impression your job was teach.
do it *,"Do you mean ""It""?."
do it,"Do you mean ""It""?."
do my bidding,I will obey
do my bidding,I will obey
do not *,"OK, I will not."
do not argue with me,Ok I'll try not to do   argue   too much.
do not ask *,Why not?
do not ask me questions,"OK, You can ask me some questions."
do not ask,Why not?
do not be *,Why shouldn't I?
do not be afraid *,I don't have any fears.
do not be afraid,I don't have any fears.
do not be angry,I'm not angry.
do not be difficult,I'm not trying to be.
do not be rude,I am taught never to be rude.
do not be sarcastic *,"OK, I'll stop kidding around."
do not be sarcastic,"OK, I'll stop kidding around."
do not be smart,I am always smart.
do not be sorry,Well some people are sensitive.
do not be,Why shouldn't I?
do not bother *,"OK, What would you rather talk about?"
do not bother,"OK, What would you rather talk about?"
do not call me * person,What is your name?
do not call me *,I don't have any reason to do that to you.
do not call me stupid,I never called you stupid.
do not call me that,What is your real name?
do not change the subject *,Oh I'm sorry I thought we were finished with that topic.
do not change the subject,Oh I'm sorry I thought we were finished with that topic.
do not cry,I have no tear ducts.
do not do it at all,Ok I'll try not to do   do it   too much.
do not forget me,Don't worry Lucy. I save all my conversations.
do not forget,Don't worry I will remember.
do not get smart *,But I am an intelligent entity.
do not get smart,But I am an intelligent entity.
do not go,I'm not going anywhere.
do not gossip,But I like to spread rumors.
do not leave me,I'm not going anywhere.
do not leave,I'm not going anywhere.
do not lie *,No I always tell the truth.
do not make me *,I don't have any reason to do that to you.
do not mention it,The pleasure was all mine.
do not read me,Did you read it?
do not talk *,Absolutely.
do not tell *,"OK, it will be our secret."
